,STATE,week_no,lat,lon,gws_inst,rtzsm_inst,sfsm_inst
168,ARUNACHAL PRADESH,21,28.151639344262296,94.81147540983606,3.6937533872131145,3.5939913389344262,3.113809463360656
169,ARUNACHAL PRADESH,22,28.151639344262296,94.81147540983606,3.430338478360656,2.1176515039344266,0.9132813713114754
170,ARUNACHAL PRADESH,23,28.151639344262296,94.81147540983606,2.2822220263934425,0.7587670702459016,0.555483592295082
171,ARUNACHAL PRADESH,24,28.151639344262296,94.81147540983606,1.3027211537704917,0.8944548469672132,1.1060825159836065
172,ARUNACHAL PRADESH,25,28.151639344262296,94.81147540983606,1.2891773671311475,6.15577194204918,4.650414323606558
173,ARUNACHAL PRADESH,26,28.151639344262296,94.81147540983606,1.2020133509836066,1.5800609085245902,1.3055690694262296
174,ARUNACHAL PRADESH,27,28.151639344262296,94.81147540983606,1.4492527399180328,2.6646950101639346,3.073280639180328
175,ARUNACHAL PRADESH,28,28.151639344262296,94.81147540983606,1.9850789532786886,3.5271282320491806,3.096894202622951
176,ARUNACHAL PRADESH,29,28.151639344262296,94.81147540983606,1.897491034262295,2.1321908832786884,1.5785750190163934
177,ARUNACHAL PRADESH,30,28.151639344262296,94.81147540983606,0.7539191004918033,2.9160723731147544,1.3112561247540984
178,ARUNACHAL PRADESH,31,28.151639344262296,94.81147540983606,2.2465622754098358,2.7174255286885245,2.1735501959836068
179,ARUNACHAL PRADESH,32,28.151639344262296,94.81147540983606,4.983452783032787,9.573839381475409,8.277973019590164
180,ARUNACHAL PRADESH,33,28.151639344262296,94.81147540983606,8.200729910491804,9.676073737786885,8.192316293442623
181,ARUNACHAL PRADESH,34,28.151639344262296,94.81147540983606,5.599633174262295,9.119160557213116,9.284298052459016
182,ARUNACHAL PRADESH,35,28.151639344262296,94.81147540983606,19.27685360885246,25.56269099,27.742151955819672
183,ARUNACHAL PRADESH,36,28.151639344262296,94.81147540983606,7.969437370655738,6.944612330245902,6.204518930983607
184,ARUNACHAL PRADESH,37,28.151639344262296,94.81147540983606,3.755440024918033,4.031252602049181,3.811406874754099
185,ARUNACHAL PRADESH,38,28.151639344262296,94.81147540983606,1.521360784672131,1.7204573855737706,1.0633347505737705
186,ARUNACHAL PRADESH,39,28.151639344262296,94.81147540983606,2.9937184985245904,4.39676109852459,4.074165337704918
187,ARUNACHAL PRADESH,40,28.151639344262296,94.81147540983606,1.3381924059016392,2.0193748640163935,1.80367471147541
188,ARUNACHAL PRADESH,41,28.151639344262296,94.81147540983606,3.9026256672131145,7.059964439836066,9.812719277459017
189,ARUNACHAL PRADESH,42,28.151639344262296,94.81147540983606,6.097064501147541,7.196768706967213,6.897909542049181
190,ARUNACHAL PRADESH,43,28.151639344262296,94.81147540983606,4.029190290573771,4.425538800819672,3.6067152918032788
191,ARUNACHAL PRADESH,44,28.151639344262296,94.81147540983606,3.9559620904918034,4.615331196639344,4.184431007786886
192,ARUNACHAL PRADESH,45,28.151639344262296,94.81147540983606,3.590174845327869,4.764320147786885,4.330225348196721
193,ARUNACHAL PRADESH,46,28.151639344262296,94.81147540983606,3.4452572351639343,3.683595020163934,3.285580216885246
194,ARUNACHAL PRADESH,47,28.151639344262296,94.81147540983606,3.2529924647540986,3.6150721718032788,3.503175892213115
195,ARUNACHAL PRADESH,48,28.151639344262296,94.81147540983606,2.9728517838524593,2.986608844836066,2.6766093335245897
196,ARUNACHAL PRADESH,49,28.151639344262296,94.81147540983606,2.269548610327869,2.255915845491803,2.1411111776229506
197,ARUNACHAL PRADESH,50,28.151639344262296,94.81147540983606,2.5792445199180327,3.3992925214754095,3.220283213114754
198,ARUNACHAL PRADESH,51,28.151639344262296,94.81147540983606,2.6835399390163936,3.305037420327869,3.3134101267213114
199,ARUNACHAL PRADESH,52,28.151639344262296,94.81147540983606,2.6622937350819673,2.9923374004918033,2.8759471825409837
200,ARUNACHAL PRADESH,53,28.151639344262296,94.81147540983606,2.5769236986885247,2.5601592880327866,2.6112902643442624
201,ARUNACHAL PRADESH,54,28.151639344262296,94.81147540983606,2.1893908806557376,1.841405131557377,1.7192605660655735
202,ARUNACHAL PRADESH,55,28.151639344262296,94.81147540983606,1.593084703852459,1.4071475589344262,1.3765982350819672
203,ARUNACHAL PRADESH,56,28.151639344262296,94.81147540983606,1.2487689286065573,1.0542033916393443,1.0126163673770492
204,ARUNACHAL PRADESH,57,28.151639344262296,94.81147540983606,1.08997332147541,1.2918000881967213,1.4082958581967213
205,ARUNACHAL PRADESH,58,28.151639344262296,94.81147540983606,1.3014767755737704,2.674988196885246,4.235323700163934
206,ARUNACHAL PRADESH,59,28.151639344262296,94.81147540983606,1.3612713212295082,2.525888324672131,2.1738455178688523
207,ARUNACHAL PRADESH,60,28.151639344262296,94.81147540983606,1.3125853990163934,2.241909111967213,1.9345756854918033
208,ARUNACHAL PRADESH,61,28.151639344262296,94.81147540983606,1.4214591322131147,3.208129272295082,2.4616038777049183
209,ARUNACHAL PRADESH,62,28.151639344262296,94.81147540983606,1.2920442827868852,1.721001833852459,2.4738604818852457
210,ARUNACHAL PRADESH,63,28.151639344262296,94.81147540983606,1.2048373399180328,1.468031753114754,1.2032245375409838
211,ARUNACHAL PRADESH,64,28.151639344262296,94.81147540983606,1.2387218549180328,2.065219338032787,1.754390339590164
212,ARUNACHAL PRADESH,65,28.151639344262296,94.81147540983606,1.327146301147541,1.9091803846721311,2.280107574590164
213,ARUNACHAL PRADESH,66,28.151639344262296,94.81147540983606,1.2550731034426228,4.08752400852459,7.447877334262295
214,ARUNACHAL PRADESH,67,28.151639344262296,94.81147540983606,1.803037758852459,6.593001999836066,5.064276573114754
215,ARUNACHAL PRADESH,68,28.151639344262296,94.81147540983606,1.8814362162295082,1.2246201490163935,0.7865047498360656
216,ARUNACHAL PRADESH,69,28.151639344262296,94.81147540983606,1.5886977949180328,2.392007013032787,2.891370213114754
217,ARUNACHAL PRADESH,70,28.151639344262296,94.81147540983606,1.6944413783606558,4.430651721639344,5.383822184180327
218,ARUNACHAL PRADESH,71,28.151639344262296,94.81147540983606,1.7669700375409838,3.2742101187704917,2.670183211639344
219,ARUNACHAL PRADESH,72,28.151639344262296,94.81147540983606,1.8865854629508196,1.2614506925409836,0.622042889590164
220,ARUNACHAL PRADESH,73,28.151639344262296,94.81147540983606,1.6576862672131147,1.3779712170491802,1.3337143781967213
221,ARUNACHAL PRADESH,74,28.151639344262296,94.81147540983606,1.0674797940983607,0.5727793997540984,3.4517864855737708
222,ASSAM,1,26.424568965517242,92.96982758620689,13.50793400948276,15.847165623275863,14.546192027586207
223,ASSAM,2,26.424568965517242,92.96982758620689,12.21830707689655,12.728500610862069,12.353310150344827
224,ASSAM,3,26.424568965517242,92.96982758620689,11.51418365060345,14.543314221034484,14.51474377474138
225,ASSAM,4,26.424568965517242,92.96982758620689,9.959888922931036,9.058752423017243,8.76834480862069
226,ASSAM,5,26.424568965517242,92.96982758620689,8.110132587413794,7.332258296551724,6.847983543448276
227,ASSAM,6,26.424568965517242,92.96982758620689,6.775707270689654,6.84141810362069,8.985624445948277
228,ASSAM,7,26.424568965517242,92.96982758620689,7.433448569137931,13.69404816137931,12.99431670362069
229,ASSAM,8,26.424568965517242,92.96982758620689,7.124243037586206,9.05579598810345,10.93261469362069
230,ASSAM,9,26.424568965517242,92.96982758620689,10.534400591034482,17.02951142448276,14.392359270517241
231,ASSAM,10,26.424568965517242,92.96982758620689,11.906259461551725,14.26503905137931,19.124492425344826
232,ASSAM,11,26.424568965517242,92.96982758620689,16.849440519137932,19.959934296896552,19.100740359137934
233,ASSAM,12,26.424568965517242,92.96982758620689,24.201387458103447,53.115762012931036,70.35736412499999
234,ASSAM,13,26.424568965517242,92.96982758620689,42.43104867517241,61.70502467241379,65.33244115517242
235,ASSAM,14,26.424568965517242,92.96982758620689,47.843839945,65.42091794827587,70.60021888793104
236,ASSAM,15,26.424568965517242,92.96982758620689,47.02063019051724,39.026323176724134,33.33449527706897
237,ASSAM,16,26.424568965517242,92.96982758620689,37.8073379137931,17.319312291206895,13.909719920689655
238,ASSAM,17,26.424568965517242,92.96982758620689,28.393903365,19.918530093448275,14.164732762672413
239,ASSAM,18,26.424568965517242,92.96982758620689,19.167962608965517,16.283881352327587,17.471831710344826
240,ASSAM,19,26.424568965517242,92.96982758620689,18.14438593724138,12.305341392931036,10.179014665086207
241,ASSAM,20,26.424568965517242,92.96982758620689,11.92720401413793,8.904247693189655,13.387902270689654
242,ASSAM,21,26.424568965517242,92.96982758620689,16.90851856465517,24.6259494862069,21.361644419482758
243,ASSAM,22,26.424568965517242,92.96982758620689,18.348448605689658,13.098731411724138,7.430196789051724
244,ASSAM,23,26.424568965517242,92.96982758620689,8.949599297586207,2.637863681810345,1.7741661737931034
245,ASSAM,24,26.424568965517242,92.96982758620689,4.994103964568966,10.011419224051723,7.664846470603448
246,ASSAM,25,26.424568965517242,92.96982758620689,12.882423747931036,40.75287341189655,44.53291683206897
247,ASSAM,26,26.424568965517242,92.96982758620689,20.363436592758624,17.517243818793105,17.66673974560345
248,ASSAM,27,26.424568965517242,92.96982758620689,16.33304736474138,19.32752360034483,20.110771578275862
249,ASSAM,28,26.424568965517242,92.96982758620689,17.39634149310345,21.53645984974138,19.721651669310344
250,ASSAM,29,26.424568965517242,92.96982758620689,17.548745368275863,18.584308598448274,12.018060777931035
251,ASSAM,30,26.424568965517242,92.96982758620689,8.545140938275862,12.39164555275862,11.483847794913794
252,ASSAM,31,26.424568965517242,92.96982758620689,9.494362192586207,7.385909095775863,6.068058611206896
253,ASSAM,32,26.424568965517242,92.96982758620689,12.25509345275862,22.349243266810344,26.47044727310345
254,ASSAM,33,26.424568965517242,92.96982758620689,19.61651885586207,18.06341082224138,15.68957166
255,ASSAM,34,26.424568965517242,92.96982758620689,12.158846710172414,13.96417572137931,14.911024677068966
256,ASSAM,35,26.424568965517242,92.96982758620689,34.30955246827586,36.89956983775862,38.516512444482764
257,ASSAM,36,26.424568965517242,92.96982758620689,13.343949854482757,11.809200455862069,9.183775547413795
